seed,test_mae,test_rmse,test_r2,hold_mae,hold_rmse,hold_r2
1,5.325053691864014,7.423518180847168,0.31794327862120797,8.462151527404785,8.862414360046387,-38.46066270106773
2,5.936269760131836,7.9378533363342285,0.22015720212753598,3.0650734901428223,3.5689964294433594,-5.399594304547955
3,5.571619987487793,7.4687886238098145,0.3095992469173585,3.542992353439331,4.370533466339111,-8.596860076658196
4,5.584812164306641,7.813348770141602,0.24442885422195015,4.857564449310303,5.102454662322998,-12.080325131326845
5,4.999622344970703,7.056447982788086,0.38372690682151867,6.682450294494629,7.339902400970459,-26.067043818290294
