domain,n_holdout,source_domains,best_source_val_rmse_z,mae,rmse,r2
garbinski2023_tm1.csv,86,18,0.4564733784645796,16.174575805664062,17.977542877197266,-3.965091814639316
hutchinson2023enhancement_singletm1_igg.csv,23,18,0.42911674620376694,1.5881195068359375,1.991129994392395,-0.46561856249734057
hutchinson2023enhancement_top200tm1_igg.csv,192,18,0.38689435169928604,1.471418023109436,2.765566349029541,-0.045999064934531875
hutchinson2023enhancement_top27tm1_igg.csv,28,18,0.41248095418430036,1.9691120386123657,2.825273275375366,-0.2304527703104169
jain2017biophysical_Tm.csv,137,18,0.3636866563724147,6.953336238861084,8.997281074523926,-1.3735771215408477
jain2024assessment_Tm.csv,43,18,0.39484999183979297,7.154109001159668,8.686467170715332,-2.391861892596175
sulea2019assisted_sdAb_tm.csv,33,18,0.43242862903409535,7.675767421722412,7.956876754760742,-7.584166282881064
tresanco2023nbthermo_tm.csv,672,18,0.4998166238268216,9.627548217773438,12.027786254882812,-0.4133142888425043
