domain,n_holdout,n_source_train,n_source_val,mae,rmse,r2,best_max_depth,best_learning_rate,best_subsample,best_colsample_bytree,best_reg_lambda,best_iteration
garbinski2023_tm1.csv,86,965,257,13.101359367370605,14.676691055297852,-2.3091997810666243,3,0.1,0.9,0.9,1.0,299
hutchinson2023enhancement_singletm1_igg.csv,23,1009,276,1.4908835887908936,1.8756335973739624,-0.3005221064124899,4,0.05,0.8,0.8,2.0,327
hutchinson2023enhancement_top200tm1_igg.csv,192,894,222,1.680975079536438,2.8514955043792725,-0.11200952212102822,3,0.1,0.9,0.9,1.0,315
hutchinson2023enhancement_top27tm1_igg.csv,28,1032,248,1.4887053966522217,2.5565993785858154,-0.007556518478998742,5,0.05,0.8,0.8,5.0,220
jain2017biophysical_Tm.csv,137,945,226,6.218673229217529,8.439908981323242,-1.0886048394875534,5,0.05,0.8,0.8,5.0,198
jain2024assessment_Tm.csv,43,1020,245,5.49043607711792,6.753878116607666,-1.0504925844348425,5,0.05,0.8,0.8,5.0,175
sulea2019assisted_sdAb_tm.csv,33,1027,248,3.8287441730499268,4.420504093170166,-1.6494542637692304,5,0.05,0.8,0.8,5.0,242
tresanco2023nbthermo_tm.csv,671,516,121,8.460561752319336,10.447943687438965,-0.06502259319280235,5,0.05,0.8,0.8,5.0,68
