domain,n_holdout,n_source_train,n_source_val,mae,rmse,r2,best_max_depth,best_learning_rate,best_subsample,best_colsample_bytree,best_reg_lambda,best_iteration
garbinski2023_tm1.csv,86,966,257,15.57794189453125,17.115415573120117,-3.500300967973361,3,0.05,0.8,0.8,1.0,575
hutchinson2023enhancement_singletm1_igg.csv,23,1010,276,1.5205422639846802,1.902683138847351,-0.338303667350881,3,0.05,0.8,0.8,1.0,839
hutchinson2023enhancement_top200tm1_igg.csv,192,895,222,1.6644753217697144,2.898085355758667,-0.1486440202980679,3,0.1,0.9,0.9,1.0,330
hutchinson2023enhancement_top27tm1_igg.csv,28,1033,248,1.4618768692016602,2.5602517127990723,-0.01043722431073113,3,0.05,0.8,0.8,1.0,958
jain2017biophysical_Tm.csv,137,946,226,6.665686130523682,8.733068466186523,-1.2362197960491672,4,0.05,0.8,0.8,2.0,268
jain2024assessment_Tm.csv,43,1021,245,7.530467987060547,8.588602066040039,-2.3158645367281676,4,0.05,0.8,0.8,2.0,474
sulea2019assisted_sdAb_tm.csv,33,1028,248,7.217219829559326,7.9539103507995605,-7.5777665822024876,3,0.05,0.8,0.8,1.0,625
tresanco2023nbthermo_tm.csv,672,516,121,9.368688583374023,11.624011039733887,-0.32001650037945883,4,0.05,0.8,0.8,2.0,69
