seed,test_mae,test_rmse,test_r2,hold_mae,hold_rmse,hold_r2
1,5.185907363891602,7.127242088317871,0.37129926125072155,1.6578232049942017,1.8585071563720703,-0.7353565464676342
2,4.954339504241943,6.874565601348877,0.4150867555851693,8.262813568115234,8.346104621887207,-33.996758537802144
3,5.806522369384766,8.077345848083496,0.1925079124037825,5.614861488342285,5.785640716552734,-15.817566797062387
4,5.263339996337891,7.547726631164551,0.29492839129306303,6.2523674964904785,6.37517786026001,-19.4194861842568
5,4.716719627380371,6.749938488006592,0.43610194507610245,2.040630340576172,2.7884981632232666,-2.9066183670336416
