seed,test_mae,test_rmse,test_r2,hold_mae,hold_rmse,hold_r2
1,5.141889572143555,7.00203800201416,0.4496507161032782,5.956172943115234,6.48327112197876,-20.117797530601084
2,5.259101390838623,7.092241287231445,0.4353797571252026,3.288132429122925,3.6686902046203613,-5.762111402575883
3,5.263124465942383,7.113545894622803,0.43198246525585327,2.677600860595703,3.321129322052002,-4.541556856297221
4,5.23818302154541,7.21260404586792,0.4160527271845196,8.431014060974121,8.727383613586426,-37.26734464008807
5,5.594491004943848,7.358477592468262,0.39219339473283665,7.296825408935547,7.713017463684082,-28.888825876960894
