domain,n_holdout,n_source_train,n_source_val,roc_auc,auprc,balanced_acc,f1,accuracy,precision,recall,pos_rate,pred_pos_rate,best_max_depth,best_learning_rate,best_subsample,best_colsample_bytree,best_reg_lambda,best_iteration
garbinski2023_tm1.csv,86,965,257,0.34013157894736845,0.09386848440869364,0.2631578947368421,0.0,0.46511627906976744,0.0,0.0,0.11627906976744186,0.4186046511627907,3,0.05,0.8,0.8,1.0,323
hutchinson2023enhancement_singletm1_igg.csv,23,1009,276,0.34090909090909094,0.043478260869565216,0.4772727272727273,0.0,0.9130434782608695,0.0,0.0,0.043478260869565216,0.043478260869565216,5,0.05,0.8,0.8,5.0,9
hutchinson2023enhancement_top200tm1_igg.csv,192,894,222,0.6441133639520555,0.6930074522591063,0.6045704043911728,0.7154471544715447,0.6354166666666666,0.6616541353383458,0.7787610619469026,0.5885416666666666,0.6927083333333334,3,0.05,0.8,0.8,1.0,301
hutchinson2023enhancement_top27tm1_igg.csv,28,1032,248,0.7611111111111111,0.8431933387120267,0.6444444444444444,0.8,0.7142857142857143,0.7272727272727273,0.8888888888888888,0.6428571428571429,0.7857142857142857,5,0.05,0.8,0.8,5.0,47
jain2017biophysical_Tm.csv,137,945,226,0.45569620253164556,0.5793489365018942,0.4347446529899607,0.48322147651006714,0.43795620437956206,0.5142857142857142,0.45569620253164556,0.5766423357664233,0.5109489051094891,3,0.1,0.9,0.9,1.0,149
jain2024assessment_Tm.csv,43,1020,245,0.5609756097560976,0.9733718728838958,0.5548780487804879,0.746268656716418,0.6046511627906976,0.9615384615384616,0.6097560975609756,0.9534883720930233,0.6046511627906976,3,0.1,0.9,0.9,1.0,209
sulea2019assisted_sdAb_tm.csv,33,1027,248,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.05,0.8,0.8,5.0,81
tresanco2023nbthermo_tm.csv,671,516,121,0.5506833197574441,0.531241895312909,0.4970133043714363,0.5888767720828789,0.43815201192250375,0.430622009569378,0.9310344827586207,0.43219076005961254,0.9344262295081968,3,0.05,0.8,0.8,1.0,126
